"File system","Creator","Year
introduced","Original operating system","License"
"DECtape","DEC","1964","PDP-6 Monitor",""
"Level-D","DEC","1968","TOPS-10",""
"George3","ICT (later ICL)","1968","George 3",""
"ODS-1","DEC","1972","RSX-11",""
"RT-11 file system","DEC","1973","RT-11",""
"DOS (GEC)","GEC","1973","Core Operating System",""
"CP/M file system","Gary Kildall","1974","CP/M",""
"V6FS","Bell Labs","1975","Version 6 Unix",""
"OS4000","GEC","1977","OS4000",""
"FAT (8-bit)","Marc McDonald, Microsoft","1977","Microsoft Standalone Disk BASIC-80",""
"DOS 3.x","Apple Computer","1978","Apple DOS",""
"Pascal","Apple Computer","1978","Apple Pascal",""
"CBM DOS","Commodore","1978","Microsoft BASIC (for CBM PET)",""
"V7FS","Bell Labs","1979","Version 7 Unix",""
"DOS 1.0","Atari Corporation","1979","Atari 8-bit family",""
"ODS-2","DEC","1979","OpenVMS",""
"FAT12","Tim Paterson, Seattle Computer Products","1980","QDOS, 86-DOS",""
"AFS","Carnegie Mellon University","1982","Multiplatform MultoOS",""
"DFS","Acorn Computers Ltd","1982","Acorn BBC Micro MOS",""
"ADFS","Acorn Computers Ltd","1983","Acorn Electron (later Arthur RISC OS)",""
"FFS","Kirk McKusick","1983","4.2BSD",""
"ProDOS","Apple Computer","1983","ProDOS 8",""
"MFS","Apple Computer","1984","Mac OS",""
"FAT16","Microsoft, IBM","1984","PC DOS 3.0/MS-DOS 3.0",""
"Elektronika BK tape format","NPO ""Scientific centre"" (now Sitronics)","1985","Vilnius Basic, BK monitor program",""
"HFS","Apple Computer","1985","Mac OS",""
"Amiga OFS","Metacomco for Commodore","1985","Amiga OS",""
"High Sierra","Ecma International","1985","MS-DOS, Mac OS",""
"NWFS","Novell","1985","NetWare 286",""
"FAT16B","Compaq","1987","Compaq MS-DOS 3.31, DR DOS 3.31",""
"MINIX V1 FS","Andrew S. Tanenbaum","1987","MINIX 1.0",""
"Amiga FFS","Commodore","1988","Amiga OS 1.3",""
"HPFS","IBM & Microsoft","1988","OS/2",""
"ISO 9660:1988","Ecma International, Microsoft","1988","MS-DOS, Mac OS, and AmigaOS",""
"JFS1","IBM","1990","AIX",""
"VxFS","VERITAS, (now Symantec)","1991","developed for Unix System Laboratories, HP-UX",""
"ext","Rémy Card","1992","Linux",""
"WAFL","NetApp","1992","Data ONTAP",""
"MINIX V2 FS","Andrew S. Tanenbaum","1992","MINIX 1.6 and 2.0",""
"AdvFS","DEC","1993","Digital Unix",""
"NTFS Version 1.0","Microsoft, Tom Miller, Gary Kimura","1993","Windows NT 3.1","proprietary"
"LFS","Margo Seltzer","1993","Berkeley Sprite",""
"ext2","Rémy Card","1993","Linux, Hurd",""
"UFS1","Kirk McKusick","1994","4.4BSD",""
"XFS","SGI","1994","IRIX",""
"HFS (Hierarchical File System)","IBM","1994","MVS/ESA (now z/OS)",""
"Rock Ridge","Young Minds Inc.","1994","Linux, Mac OS, Amiga OS, and FreeBSD",""
"Joliet (""CDFS"")","Microsoft","1995","Microsoft Windows, Linux, Mac OS, and FreeBSD",""
"PFS","Michiel Pelt","1996","AmigaOS",""
"Romeo","Adaptec","1996","Microsoft Windows",""
"UDF","ISO/ECMA/OSTA","1995","-",""
"FAT32","Microsoft","1996","Windows 95",""
"QFS","LSC Inc, Sun Microsystems","1996","Solaris",""
"GPFS","IBM","1998","AIX, Linux, Windows",""
"Be File System","Be Inc., D. Giampaolo, C. Meurillon","1996","BeOS",""
"HFS Plus","Apple Computer","1998","Mac OS 8.1",""
"NSS","Novell","1998","NetWare 5",""
"PolyServe File System (PSFS)","PolyServe","1998","Windows, Linux",""
"ODS-5","DEC","1998","OpenVMS 7.2",""
"SFS","John Hendrikx","1998","AmigaOS, AROS, MorphOS",""
"ext3","Stephen Tweedie","1999","Linux",""
"ISO 9660:1999","Ecma International, Microsoft","1999","Microsoft Windows, Linux, Mac OS X, FreeBSD, and AmigaOS",""
"JFS","IBM","1999","OS/2 Warp Server for e-business",""
"GFS","Sistina (Red Hat)","2000","Linux",""
"Melio FS","Sanbolic","2001","Windows",""
"NTFS Version 3.1","Microsoft","2001","Windows XP","proprietary"
"ReiserFS","Namesys","2001","Linux",""
"zFS","IBM","2001","z/OS (backported to OS/390)",""
"FATX","Microsoft","2002","Xbox",""
"UFS2","Kirk McKusick","2002","FreeBSD 5.0",""
"Lustre","Cluster File Systems (later Oracle Corporation)","2002","Linux",""
"OCFS","Oracle Corporation","2002","Linux",""
"VMFS2","VMware","2002","VMware ESX Server 2.0",""
"ext3cow","Zachary Peterson","2003","Linux",""
"Fossil","Bell Labs","2003","Plan 9 from Bell Labs 4",""
"Google File System","Google","2003","Linux",""
"PramFS","MontaVista","2003","Linux",""
"Reliance","Datalight","2003","Windows CE, VxWorks, custom ports",""
"VxCFS","VERITAS, (now Symantec)","2004","AIX, HP-UX, Solaris, Linux",""
"ZFS","Sun Microsystems","2004","Solaris","CDDL"
"Reiser4","Namesys","2004","Linux",""
"Non-Volatile File System","Palm, Inc.","2004","Palm OS Garnet",""
"MINIX V3 FS","Andrew S. Tanenbaum","2005","MINIX 3",""
"OCFS2","Oracle Corporation","2005","Linux",""
"NILFS","NTT","2005","Linux",""
"VMFS3","VMware","2005","VMware ESX Server 3.0",""
"GFS2","Red Hat","2006","Linux",""
"ext4","Various","2006","Linux",""
"exFAT","Microsoft","2006, 2009","Windows CE 6.0, Windows XP SP3, Windows Vista SP1","proprietary"
"TexFAT/TFAT","Microsoft","2006","Windows CE 6.0",""
"Btrfs","Oracle Corporation","2007","Linux","GPL"
"Ceph","Sage Weil, Inktank Storage, Red Hat","2007, 2012","Linux",""
"WBFS","(Wii homebrew)|kwiirk and Waninkoko (Wii homebrew)","2008","Nintendo WII",""
"HAMMER","Matthew Dillon","2008","DragonFly BSD",""
"Tux3","Various","2008","Linux",""
"UBIFS","Nokia with help of University of Szeged","2008","Linux",""
"Oracle ACFS","Oracle Corporation","2009","Linux - Red Hat Enterprise Linux 5 and Oracle Enterprise Linux 5 only",""
"Reliance Nitro","Datalight","2009","Windows CE, Windows Mobile, VxWorks, Linux, custom ports",""
"LTFS","IBM","2010","Linux, Mac OS X, planned Microsoft Windows,","LGPL"
"IlesfayFS","Ilesfay Technology Group","2011","Microsoft Windows, planned Red Hat Enterprise Linux",""
"VMFS5","VMware","2011","VMware ESXi 5.0tux 3 stats",""
"ReFS","Microsoft","2012, 2013","Windows 2012 Server","proprietary"
"Lanyard Filesystem","Dan Luedtke","2012","Linux",""
"F2FS","Samsung","2012","Linux","GPLv2"
"File system","Creator","Year
introduced","Original operating system","License"
"File system","Maximum filename length","Allowable characters in directory entries","Maximum pathname length","Maximum file size","Maximum volume size","/!\ This cell is not defined /!\"
"Acorn ADFS","10 bytes","Any ISO 8859-1 character except:","No limit defined","512 MB or 4 GB","512 MB or 4 GB","/!\ This cell is not defined /!\"
"AdvFS","226 characters","Any byte except NUL","No limit defined","16 TB","16 TB","/!\ This cell is not defined /!\"
"Apple DOS 3.x","30 bytes","Any byte except NUL","30 B, no subdirectories (105 files per disk)","Unknown","140 kB DOS 3.3 (assuming standard 35 tracks)
113.75 kB DOS 3.1, 3.2","/!\ This cell is not defined /!\"
"Apple ProDOS","15 bytes","A-Z, a-z, 0-9, and period","64 B, including slashes","16 MB","32 MB","/!\ This cell is not defined /!\"
"BFS","255 bytes","Any byte except NUL","No limit defined","260 GB","2 EB","/!\ This cell is not defined /!\"
"Btrfs","255 bytes","Any byte except NUL","Unknown","16 EB","16 EB","/!\ This cell is not defined /!\"
"CBM DOS","16 bytes","Any byte except NUL","Non-hierarchical","16 MB","16 MB","/!\ This cell is not defined /!\"
"CP/M file system","8.3","any byte except:","16 ""user areas"", no subdirectories","8 MB","8 MB to 512 MB","/!\ This cell is not defined /!\"
"DECtape","6.3","A–Z, 0–9","DTxN:FILNAM.EXT = 15","369,280 B (577 * 640)","369,920 B (578 * 640)","/!\ This cell is not defined /!\"
"DOS (GEC)","8 bytes","A–Z, 0–9","Non-hierarchical","64 MB","64 MB","/!\ This cell is not defined /!\"
"Elektronika BK tape format","16 bytes","Unknown","Non-hierarchical","64 kB","800 kB (approx) per side for 90 min cassette (limited only by tape length)","/!\ This cell is not defined /!\"
"exFAT","255 characters","Any Unicode except NUL","No limit defined","127 PB","64 ZB, 512 TB recommended","/!\ This cell is not defined /!\"
"ext2","255 bytes","Any byte except NUL and /","No limit defined","2 TB","32 TB","/!\ This cell is not defined /!\"
"ext3","255 bytes","Any byte except NUL and /","No limit defined","2 TB","32 TB","/!\ This cell is not defined /!\"
"ext3cow","255 bytes","Any byte except NUL, / and @","No limit defined","2 TB","32 TB","/!\ This cell is not defined /!\"
"ext4","255 bytes","Any byte except NUL and /","No limit defined","16 TB","1 EB","/!\ This cell is not defined /!\"
"TexFAT","247 characters","Any Unicode except NUL","No limit defined","2 GB","500 GB Tested","/!\ This cell is not defined /!\"
"F2FS","255 bytes","Unknown","Unknown","3.94 TB","16 TB","/!\ This cell is not defined /!\"
"FAT12","8.3 (255 UCS-2 code units with VFAT LFN)","Any byte except for values 0-31, 127 (DEL) and:  (lowcase a-z are stored as A-Z). With VFAT LFN any Unicode except NUL","No limit defined","32 MB (256 MB)","32 MB (256 MB with 4K sectors and 64 KB clusters)","/!\ This cell is not defined /!\"
"FAT16","8.3 (255 UCS-2 code units with VFAT LFN)","Any byte except for values 0-31, 127 (DEL) and:  (lowcase a-z are stored as A-Z). With VFAT LFN any Unicode except NUL","No limit defined","2 GB (4 GB with LFS)","2 GB or 4 GB","/!\ This cell is not defined /!\"
"FAT32","8.3 (255 UCS-2 code units with VFAT LFN)","Any byte except for values 0-31, 127 (DEL) and:  (lowcase a-z are stored as A-Z). With VFAT LFN any Unicode except NUL","No limit defined","2 GB (4 GB with LFS,256 GB with FAT32+)","2 TB (16 TB)","/!\ This cell is not defined /!\"
"FATX","42 bytes","ASCII.  Unicode not permitted.","No limit defined","2 GB","2 GB","/!\ This cell is not defined /!\"
"FFS","255 bytes","Any byte except NUL","No limit defined","8 ZB","8 ZB","/!\ This cell is not defined /!\"
"Fossil","Unknown","Unknown","Unknown","Unknown","Unknown","/!\ This cell is not defined /!\"
"GFS","255","Any byte except NUL","No limit defined","8 EB","8 EB","/!\ This cell is not defined /!\"
"GPFS","255 UTF-8 codepoint","Any byte except NUL and /","No limit defined","8 EB","8 YB (18 PB tested)","/!\ This cell is not defined /!\"
"HAMMER","Unknown","Unknown","Unknown","Unknown","1 EB","/!\ This cell is not defined /!\"
"HFS","31 bytes","Any byte except","Unlimited","2 GB","2 TB","/!\ This cell is not defined /!\"
"HFS Plus","255 UTF-16 code units","Any valid Unicode","Unlimited","8 EB","8 EB","/!\ This cell is not defined /!\"
"High Sierra","Unknown","Unknown","Unknown","Unknown","Unknown|-","/!\ This cell is not defined /!\"
"HPFS","255 bytes","Any byte except NUL","No limit defined","2 GB","2 TB","/!\ This cell is not defined /!\"
"ISO 9660:1988","Level 1: 8.3,
Level 2 & 3: ~ 180","Depends on Level","~ 180 bytes?","4 GB (Level 1 & 2) to 8 TB (Level 3)","8 TB","/!\ This cell is not defined /!\"
"ISO 9660:1999","style=""background: #E4E4E4; color: black; vertical-align: middle; text-align: center; "" class=""unknown table-unknown""|Unknown (207?)","Unknown","Unknown","Unknown","Unknown","Unknown"
"Joliet (""CDFS"")","64 Unicode characters","All UCS-2 code except","Unknown","4 GB (same as ISO 9660:1988)","8 TB (same as ISO 9660:1988)","/!\ This cell is not defined /!\"
"Lanyard Filesystem","255 bytes","Any byte except NUL and","No limit defined","64 ZB","128 kB to 64 ZB","/!\ This cell is not defined /!\"
"LEAN","4,068 bytes","case sensitive, in UTF-8 (any Unicode codepoint)","No limit defined","8 EB","8 EB","/!\ This cell is not defined /!\"
"Level-D","6.3","A–Z, 0–9","DEVICE:FILNAM.EXT[PROJECT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67","24 GB (34,359,738,368 words (2-1); 206,158,430,208 SIXBIT bytes)","12 GB (approx; 64 * 178 MB)","/!\ This cell is not defined /!\"
"LTFS","Unknown","Unknown","Unknown","Unknown","Unknown","/!\ This cell is not defined /!\"
"Lustre","255 bytes","Any byte except NUL and /","No limit defined","32 PB (on ext4)","1 YB (55 PB tested)","/!\ This cell is not defined /!\"
"JFS1","255 bytes","Any byte except NUL","No limit defined","8 EB","4 PB","/!\ This cell is not defined /!\"
"JFS","255 bytes","Any Unicode except NUL","No limit defined","4 PB","32 PB","/!\ This cell is not defined /!\"
"MFS","255 bytes","Any byte except","No path (flat filesystem)","226 MB","226 MB","/!\ This cell is not defined /!\"
"MicroDOS file system","14 bytes","Unknown","Unknown","16 MB","32 MB","/!\ This cell is not defined /!\"
"MINIX V1 FS","14 or 30 bytes, set at filesystem creation time","Any byte except NUL","No limit defined","64 MB","64 MB","/!\ This cell is not defined /!\"
"MINIX V2 FS","14 or 30 bytes, set at filesystem creation time","Any byte except NUL","No limit defined","4 GB","1 GB, then 2 TB","/!\ This cell is not defined /!\"
"MINIX V3 FS","60 bytes","Any byte except NUL","No limit defined","4 GB","16 TB","/!\ This cell is not defined /!\"
"NILFS","255 bytes","Any byte except NUL","No limit defined","8 EB","8 EB","/!\ This cell is not defined /!\"
"NSS","226 characters","Depends on namespace used","Only limited by client","8 TB","8 TB","/!\ This cell is not defined /!\"
"NTFS","255 characters","Depends on namespace used","32,767 Unicode characters with each path component (directory or filename) commonly up to 255 characters long","16 EB","16 EB","/!\ This cell is not defined /!\"
"NWFS","80 bytes","Depends on namespace used","No limit defined","4 GB","1 TB","/!\ This cell is not defined /!\"
"OCFS","255 bytes","Any byte except NUL","No limit defined","8 TB","8 TB","/!\ This cell is not defined /!\"
"OCFS2","255 bytes","Any byte except NUL","No limit defined","4 PB","4 PB","/!\ This cell is not defined /!\"
"ODS-5","236 bytes","Unknown","4,096 bytes","2 TB","2 TB","/!\ This cell is not defined /!\"
"OS4000","8 bytes","A–Z, 0–9
Period is directory separator","No limit defined","2 GB","1 GB (at least)","/!\ This cell is not defined /!\"
"PramFS","31 bytes","Any byte except NUL","Unknown","1 GB","8 EB","/!\ This cell is not defined /!\"
"QFS","255 bytes","Any byte except NUL","No limit defined","16 EB","4 PB","/!\ This cell is not defined /!\"
"ReFS","32,767 Unicode characters (255 Unicode characters in Windows 8/8.1)","Unknown","32,767 Unicode characters in each path component","16 EB","1 YB with 64 kB cluster size (2 × 64 × 2). Windows stack addressing allows 16 EB","/!\ This cell is not defined /!\"
"ReiserFS","4,032 bytes/226 characters","Any byte except NUL","No limit defined","8 TB (v3.6), 2 GB (v3.5)","16 TB","/!\ This cell is not defined /!\"
"Reiser4","3,976 bytes","Any byte except  and NUL","No limit defined","8 TB on x86","Unknown","/!\ This cell is not defined /!\"
"Reliance","260 bytes","OS specific","260 B","4 GB","2 TB","/!\ This cell is not defined /!\"
"Reliance Nitro","1,024 bytes","OS specific","1024 bytes","32 TB","32 TB","/!\ This cell is not defined /!\"
"RT-11","6.3","A–Z, 0–9, $","Non-hierarchical","32 MB (65536 * 512)","32 MB","/!\ This cell is not defined /!\"
"IBM SFS","8.8","Unknown","Non-hierarchical","Unknown","Unknown","/!\ This cell is not defined /!\"
"UDF","255 bytes","Any Unicode except NUL","1,023 bytes","16 EB","2 TB (hard disk), 8 TB (optical disc)","/!\ This cell is not defined /!\"
"UFS1","255 bytes","Any byte except NUL","No limit defined","226 TB","226 TB","/!\ This cell is not defined /!\"
"UFS2","255 bytes","Any byte except NUL","No limit defined","32 PB","1 YB","/!\ This cell is not defined /!\"
"V6FS","14 bytes","Any byte except NUL and","No limit defined","16 MB","2 TB","/!\ This cell is not defined /!\"
"V7FS","14 bytes","Any byte except NUL and","No limit defined","1 GB","2 TB","/!\ This cell is not defined /!\"
"VxFS","255 bytes","Any byte except NUL","No limit defined","256 TB","256 TB","/!\ This cell is not defined /!\"
"VMFS2","128","Any byte except NUL and","2,048","4 TB","64 TB","/!\ This cell is not defined /!\"
"VMFS3","128","Any byte except NUL and","2,048","2 TB","64 TB","/!\ This cell is not defined /!\"
"XFS","255 bytes","Any byte except NUL","No limit defined","8 EB","8 EB","/!\ This cell is not defined /!\"
"ZFS","255 bytes","Any Unicode except NUL","No limit defined","16 EB","256 ZB","/!\ This cell is not defined /!\"
"File system","Maximum filename length","Allowable characters in directory entries","Maximum pathname length","Maximum file size","Maximum volume size","/!\ This cell is not defined /!\"
"File system","Stores file owner","POSIX file permissions","Creation timestamps","Last access/ read timestamps","Last content modification timestamps","Disk copy created","Last metadata change timestamps","Last archive timestamps","Access control list","Security/ MAC labels","Extended attribute/ Alternate data streams/ forks","Checksum/ ECC","Max Timestamp Resolution"
"AdvFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","No","Yes","No","Unknown"
"Be File System","Yes","Yes","Yes","No","Unknown","Unknown","No","No","No","No","Yes","No","Unknown"
"Btrfs","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","1 nanosecond"
"CBM DOS","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"CP/M file system","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"DECtape","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"DOS (GEC)","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","Unknown"
"Elektronika BK tape format","No","No","No","No","Unknown","Unknown","No","No","No","No","No","Yes","Unknown"
"ext2","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","No","1 second"
"ext3","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","1 second"
"ext3cow","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","1 second"
"ext4","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Partial","1 nanosecond"
"exFAT","No","No","Yes","Yes","Yes","No","Unknown","No","No","Unknown","Unknown","Partial","10 milliseconds"
"FAT12","No","No","Partial","Partial","Yes","Yes","No","No","No","No","No","No","10 milliseconds"
"FAT16","No","No","Partial","Partial","Yes","Yes","No","No","No","No","No","No","10 milliseconds"
"FAT32","No","No","Partial","Partial","Yes","Yes","No","No","No","No","No","No","10 milliseconds"
"FFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"Fossil","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","No","No","No","No","Unknown"
"GPFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Yes","1 nanosecond"
"GFS","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Yes","No","Unknown"
"HFS","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Unknown"
"HFS Plus","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","1 second"
"HPFS","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","Unknown","Yes","No","Unknown"
"High Sierra","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"ISO 9660:1988","No","No","Yes","No","Yes","Unknown","No","No","No","No","No","No","Unknown"
"ISO 9660:1999","No","No","Yes","No","Unknown","Unknown","No","No","No","No","No","No","Unknown"
"JFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","No","1 second"
"Joliet (""CDFS"")","No","No","Yes","No","Yes","Unknown","No","No","No","No","No","No","Unknown"
"Lanyard Filesystem","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","1 nanosecond"
"Level-D","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","No","No","No","Unknown"
"LFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"Lustre","Yes","Yes","Partial","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Partial","Unknown"
"NILFS","Yes","Yes","Yes","No","Unknown","Unknown","Yes","No","Planned","No","Planned","Yes","Unknown"
"NTFS","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","100 nanoseconds"
"NSS","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","No","Unknown"
