"File system","Creator","Year
"NWFS","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","No","Unknown"
"OCFS","No","Yes","No","No","Unknown","Unknown","Yes","Yes","No","No","No","No","Unknown"
"OCFS2","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","Yes","No","Yes","Partial","Unknown"
"ODS-5","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","No","Unknown"
"OS4000","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","Unknown"
"PramFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Yes","1 second"
"QFS","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","Unknown"
"ReiserFS","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"Reiser4","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"Reliance","No","No","Yes","No","Yes","No","No","No","No","No","No","Partial","Unknown"
"Reliance Nitro","Linux port","Linux port","Yes","Yes","Yes","No","No","No","Linux port","No","Yes","Partial","Unknown"
"UDF","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","Unknown"
"UFS1","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","No","No","Unknown"
"UFS2","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","No","Unknown"
"V6FS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"V7FS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","Unknown"
"VMFS2","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","No","No","No","No","Unknown"
"VMFS3","Yes","Yes","No","Yes","Unknown","Unknown","Yes","No","No","No","No","No","Unknown"
"VxFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Unknown","Yes","No","Unknown"
"XFS","Yes","Yes","No","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Partial","1 nanosecond"
"ZFS","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","1 nanosecond"
"File system","Stores file owner","POSIX file permissions","Creation timestamps","Last access/read timestamps","Last content modification timestamps","Disk copy created","Last metadata change timestamps","Last archive timestamps","Access control list","Security/ MAC labels","Extended attribute/ Alternate data streams/ forks","Checksum/ ECC","Max Timestamp Resolution"
"File system","Hard link","Symbolic link","Block journaling","Metadata-only journaling","Case-sensitive","Case-preserving","File Change Log","Snapshot","XIP","Encryption","COW","Integrated LVM","Data deduplication","Volumes are resizeable"
"Be File System","No","Yes","No","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","Unknown"
"Btrfs","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Planned","Yes","Yes","Yes (via bedup)","Online"
"CBM DOS","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"CP/M file system","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"DECtape","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"DOS (GEC)","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"ext2","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","No","Online"
"ext3","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Online"
"ext3cow","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","No","No","Unknown"
"ext4","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Online"
"exFAT","No","No","No","No","No","Yes","No","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"FAT12","No","No","No","No","No","Partial","No","No","No","No","No","No","No","Offline"
"FAT16","No","No","No","No","No","Partial","No","No","No","No","No","No","No","Offline"
"FAT32","No","No","No","No","No","Partial","No","No","No","No","No","No","No","Offline"
"FFS","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Offline (cannot be shrunk)"
"Fossil","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Unknown","No","Yes","Unknown"
"GFS","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Online"
"GPFS","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Online"
"HAMMER","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","On demand","Unknown"
"HFS","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Unknown"
"HFS Plus","Yes","Yes","No","Yes","Partial","Yes","Yes","No","No","Yes","No","No","No","Yes"
"HPFS","No","No","No","No","No","Yes","No","Unknown","No","No","Unknown","Unknown","No","Unknown"
"JFS","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Unknown","Unknown","Online (cannot be shrunk)"
"Lanyard Filesystem","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Offline (cannot be shrunk)"
"Level-D","No","No","No","No","No","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"LFS","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"Lustre","Yes","Yes","Yes","Yes","Yes","Yes","Yes in 2.0 and later","No","No","No","No","No","No","Online"
"NILFS","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Unknown","Unknown","Online (since Linux-3.x and nilfs-utils 2.1)"
"NSS","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Unknown","Unknown"
"NTFS","Yes","Yes","No","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Partial","Unknown","Yes (Windows Server 2012)","Online"
"NWFS","Yes","Yes","No","No","Yes","Yes","Yes","Unknown","No","No","No","Yes","Unknown","Unknown"
"OCFS","No","Yes","No","No","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"OCFS2","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial","No","No","Unknown","No","No","Online for version 1.4 and higher"
"ODS-2","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"ODS-5","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"OS4000","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"PramFS","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No"
"QFS","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"ReiserFS","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Online"
"Reiser4","Yes","Yes","Yes","No","Yes","Yes","No","Unknown","No","Yes","Yes","No","Unknown","Online (can only be shrunk offline)"
"Reliance","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","Unknown"
"Reliance Nitro","Yes","Yes","No","No","Depends on OS","Yes","No","No","No","No","Yes","No","No","Unknown"
"RT-11","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"UDF","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Unknown"
"UFS1","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"UFS2","Yes","Yes","No","No","Yes","Yes","No","Yes","Unknown","No","No","No","No","Offline (cannot be shrunk)"
"V6FS","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"V7FS","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Unknown"
"VxFS","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Unknown","No","Unknown","Unknown","Yes","Unknown"
"VMFS2","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"VMFS3","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown"
"XFS","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Online (cannot be shrunk)"
"ZFS","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Online (cannot be shrunk)"
"File system","Hard link","Symbolic link","Block journaling","Metadata-only journaling","Case-sensitive","Case-preserving","File Change Log","Snapshotting","XIP","Encryption","COW","integrated LVM","Data deduplication","Volumes are resizeable"
"File system","Block suballocation","Variable file block size","Extent","Allocate-on-flush","Sparse file","Transparent compression"
"Be File System","No","No","Yes","No","Unknown","No"
"Btrfs","Partial","No","Yes","Yes","Yes","Yes"
"CBM DOS","No","Partial","No","No","No","No"
"CP/M filesystem","No","No","Yes","No","Yes","No"
"DECtape","No","No","No","No","No","No"
"DOS (GEC)","No","Yes","Yes","No","No","No"
"ext2","No","No","No","No","Yes","No"
"ext3","No","No","No","No","Yes","No"
"ext3cow","No","No","No","No","Yes","No"
"ext4","No","No","Yes","Yes","Yes","No"
"exFAT","Unknown","No","No","Unknown","No","No"
"FAT12","No","No","No","No","No","No"
"FAT16","No","No","No","No","No","No"
"FAT32","No","No","No","No","No","No"
"FFS","8:1","No","No","No","Yes","No"
"Fossil","No","No","No","No","Unknown","Yes"
"GFS","Partial","No","No","No","Yes","No"
"GPFS","Yes","Yes","No","No","Yes","No"
"HFS Plus","No","No","Yes","Yes","No","Yes"
"HPFS","No","No","Yes","No","No","No"
"JFS","Yes","No","Yes","No","Yes","only in JFS1 on AIX"
"Level-D","Yes","No","Yes","No","No","No"
"LFS","8:1","No","No","No","Yes","No"
"Lustre","No","No","Yes","Yes","Yes","No"
"NSS","No","No","Yes","No","Unknown","Yes"
"NILFS","No","No","Planned","Yes","Yes","No"
"NTFS","Partial","No","Yes","No","Yes","Partial"
"NWFS","Yes","No","No","No","Unknown","Yes"
"OCFS","No","No","Yes","No","Unknown","No"
"OCFS2","No","No","Yes","No","Yes","No"
"ODS-5","No","No","Yes","No","Unknown","No"
"OS4000","No","Yes","Yes","No","No","No"
"PramFS","No","No","No","No","Yes","No"
"QFS","Yes","No","No","No","Unknown","No"
"ReiserFS","Yes","No","No","No","Yes","No"
"Reiser4","Yes","No","Yes","Yes","Yes","Yes"
"Reliance","No","No","No","No","No","No"
"Reliance Nitro","No","No","Yes","No","Yes","No"
"UDF","No","No","Yes","Depends","No","No"
"UFS1","8:1","No","No","No","Yes","No"
"UFS2","8:1","Yes","No","No","Yes","No"
"V6FS","No","No","No","No","Yes","No"
"V7FS","No","No","No","No","Yes","No"
"VMFS2","Yes","No","No","No","Yes","No"
"VMFS3","Yes","No","Yes","No","Yes","No"
"VxFS","Unknown","No","Yes","No","Yes","No"
"XFS","No","No","Yes","Yes","Yes","No"
"ZFS","Partial","Yes","No","Yes","Yes","Yes"
"File system","Block suballocation","Variable file block size","Extent","Allocate-on-flush","Sparse file","Transparent compression"
"File system","DOS","Windows 9x","Windows NT","Linux","Mac OS","Mac OS X","FreeBSD","BeOS","Solaris","AIX","z/OS","OS/2","Windows CE","Windows Mobile","VxWorks","HP-UX","Plan 9"
"BFS","No","Partial - read-only with third-party driver","Partial - read-only with third-party driver","Partial - read-only","No","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"Btrfs","No","No","No","Yes since kernel 2.6.29","No","No","No","No","No","No","No","No","No","No","Unknown","Unknown","No"
"DECtape","No","Unknown","Unknown","with AncientFS","No","with AncientFS","with AncientFS","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"exFAT","No","Partial read-only with third party driver","Yes : Win7, Vista SP1, can be added to XP SP2, SP3","with third party driver","No","Yes 10.6.5+","No","No","Yes","No","No","No","Yes","No","Unknown","Unknown","Unknown"
"ext2","Unknown","Unknown","with Ext2Fsd (complete) or Ext2 IFS (partial, no large inodes) or Ext2Read (read-only, also on LVM2)","Yes since kernel 0.99","No","with fuse-ext2, ExtFS and ext2fsx","Yes","read-only","Unknown","Unknown","Unknown","third-party app","with 3rd-party app","with 3rd-party app","Unknown","Unknown","Yes"
"ext3","Unknown","Unknown","with Ext2Fsd (complete) or Ext2 IFS (partial, no large inodes) or Ext2Read (read-only, also on LVM2)","Yes since kernel 2.4.15","No","with fuse-ext2 and ExtFS","Yes","Unknown","Yes","Unknown","Unknown","Unknown","with 3rd-party app","with 3rd-party app","Unknown","Unknown","No"
"ext3cow","Unknown","Unknown","Unknown","Yes Kernel 2.6.20","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"ext4","No","No","Partial with Ext2Fsd (partial, extents limited) or Ext2Read (read-only, also on LVM2)","Yes since kernel 2.6.28","No","with fuse-ext2 (partial), ext4fuse (read-only) and ExtFS (full read/write)","Partial with ext4fuse (read-only)","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown","No"
"FAT12","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial on diskettes only, through dos* commands","Unknown","Yes","Yes","Unknown","Yes","Unknown","Yes"
"FAT16","Yes since DOS 3.0, FAT16B since DOS 3.31","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial on diskettes only, through dos* commands","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes"
"FAT32","Yes since DOS 7.1","Yes since Windows 95 OSR2","Yes since Windows 2000","Yes","Yes","Yes","Yes","Yes","Yes","Partial on diskettes only, through dos* commands","Unknown","with third-party app","Yes","Yes","Yes","Unknown","Yes"
"FFS","No","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Fossil","No","No","No","with 3rd-party software","No","with 3rd-party software","with 3rd-party software","No","with 3rd-party software","No","No","No","No","No","No","No","Yes"
"GFS","No","Unknown","Unknown","Yes since kernel 2.6.19","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"HFS","No","with third-party app","with third-party app","Yes","Yes","Partial: read-only since OSX 10.6","with third-party app","Unknown","Unknown","Unknown","No","with third-party app","No","No","No","Unknown","No"
"HFS Plus","No","with third-party app","with third-party app","Partial - write support occurs if journal is empty, but requires a force mount.","Yes since Mac OS 8.1","Yes","Partial read-only third-party app","Unknown","Unknown","Unknown","No","with third-party app","No","No","No","Unknown","No"
"HPFS","with third-party driver","Partial read-only third-party driver","included until v3.51, third-party driver until 4.0","Yes","No","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","No"
"GPFS","No","No","Yes","Yes since 2001","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"IBM HFS","No","No","No","No","No","No","No","No","No","No","Yes","No","Unknown","Unknown","Unknown","Unknown","No"
"IBM zFS","No","No","No","No","No","No","No","No","No","No","Yes","No","Unknown","Unknown","Unknown","Unknown","No"
"JFS","No","Unknown","Unknown","Yes","No","No","No","Unknown","Unknown","Yes","Unknown","Yes","No","No","Unknown","No","/!\ This cell is not defined /!\"
"Level-D","No","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"LFS","No","Unknown","Unknown","with logfs and others","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","Unknown"
"LTFS","No","Unknown","Unknown","Yes","No","Yes","No","No","No","No","No","No","No","No","Unknown","Unknown","No"
"Lustre","No","No","Partial - under development","Yes","No","Partial - via FUSE","Partial - via FUSE","No","Partial - under development","No","No","No","No","No","Unknown","Unknown","No"
"NILFS","No","Unknown","Unknown","Yes since kernel 2.6.30","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"NSS","Unknown","Unknown","Unknown","with Novell OES2","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"NTFS","with third-party driver","with third-party driver","Yes","Yes Kernel 2.2 or newer, or with NTFS-3G or ntfsprogs","with NTFS-3G or MacFUSE","partial read-only in kernel, read-write with NTFS-3G","with NTFS-3G","read-only","with NTFS-3G on Opensolaris","Unknown","Unknown","Partial read-only third-party driver","with 3rd-party driver","No","Unknown","Unknown","Unknown"
"NWFS","Unknown","Unknown","Unknown","via ncpfs client software","No","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"OCFS","No","Unknown","Unknown","Yes","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"OCFS2","No","Unknown","Unknown","Yes","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"ODS-2","No","Unknown","Unknown","Partial read-only with tool or kernel module","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"ODS-5","No","Unknown","Unknown","Partial read-only with kernel module","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"PramFS","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"QFS","No","Unknown","Unknown","via client software","No","Unknown","No","Unknown","Yes","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"ReFS","No","No","Yes since Windows Server 2012 and Windows 8.1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Reiser4","No","Unknown","Partial with DiskInternals Linux Reader (read-only)","with a kernel patch","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"ReiserFS","No","Unknown","Partial with DiskInternals Linux Reader (read-only)","Yes since kernel 2.4.1","No","No","Partial - read only","Partial - read only","Unknown","Unknown","Unknown","Unknown","with 3rd-party app","with 3rd-party app","Unknown","Unknown","No"
"Reliance","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Unknown","No"
"Reliance Nitro","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Unknown","No"
"RT-11","No","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Yes","Unknown","No"
"UDF","Unknown","Partial read-only support of UDF 1.02 since Win95 OSR2","Yes","Yes","Yes since Mac OS 9","Yes","Yes","Partial","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","No"
"UFS1","No","Unknown","Unknown","Partial - read only","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"UFS2","No","Unknown","Partial - with DiskInternals Linux Reader (read-only)","Partial - read only","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown"
"VMFS2","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","/!\ This cell is not defined /!\"
"VMFS3","No","Unknown","Unknown","Partial read-only with vmfs","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"VxFS","No","Unknown","Unknown","Yes","No","Unknown","No","Unknown","Yes","Yes","Unknown","Unknown","No","No","Unknown","Yes","No"
"XFS","No","Unknown","Unknown","Yes since kernel 2.4","No","Unknown","Partial: read-only","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"ZFS","No","No","No","with 3rd Party kernel module or FUSE","No","with free 3rd-party software","Yes","No","Yes","No","No","No","Unknown","Unknown","Unknown","Unknown","No"
"File system","DOS","Windows 9x","Windows NT","Linux","Mac OS","Mac OS X","FreeBSD","BeOS","Solaris","AIX","z/OS","OS/2","Windows CE","Windows Mobile","VxWorks","HP-UX","Plan 9"