"Function","FalconStor","FreeNAS","Microsoft Windows Storage Server","Open-E","Openfiler"
"Continuous Data Protection (CDP)","Yes","No","Yes","Yes","Yes"
"Snapshot","Yes","Yes","Yes","Yes","Yes"
"Mirroring and Replication","Yes","Yes","Yes","Yes","Yes"
"Thin Provisioning","Yes","No","No","No","No"
"I/O caching","Yes","No","Yes","No","Yes"
"Challenge-handshake authentication protocol","Yes","Yes","Yes","Yes","Yes"
"Multi-user mutual CHAP authorization","No","No","No","No","No"
"IPsec tunnelling","No","No","Yes","Yes","No"
"Software RAID","No","Yes","No","Yes","Yes"
"Virtual Optical Drive","No","Yes","Yes","Yes","Yes"
"Virtual tape library","Yes","No","No","Yes","No"
"Microsoft Management Console support","No","Yes","No","No","No"
"PerfMon support","No","No","Yes","No","No"
"High availability support","Yes","No","Yes","Yes","No"
"VHD support","Yes","Yes","Yes","Yes","No"
"Dynamically expanding file support","Yes","No","No","No","No"
"Virtual Burner support","No","No","No","No","No"
"EventViewer support","No","No","Yes","No","No"
"MPIO","Yes","No","Yes","Yes","Yes"
"Windows Volume Snapshot Service","No","No","Yes","No","No"
"VMware integration toolkit","No","No","No","No","No"
"Remote management","Yes","Yes","Yes","Yes","Yes"
"Microsoft Windows Server Core Support","No","No","No","No","No"
"Unlimited Network Interface Controller Support","Yes","Yes","Yes","Yes","Yes(Old v:1)"
"Storage limits","64 TB","Unlimited","Unlimited","4/8/16 (more need additional license)","Unlimited"