"Paradigm","Description","Main characteristics","Related paradigm(s)","Critics","Examples"
"Imperative","Computation as statements that directly change a program state (datafields)","Direct assignments, common data structure, global variable","","Edsger W. Dijkstra, Michael A. Jackson","C, C++, Java, PHP, Python"
"Structured","A style of imperative programming with more logical program structure","Structogram, indentation, either no, or limited use of, goto statements","Imperative","","C, C++, Java, Python"
"Procedural","Derived from structured programming, based on the concept of modular programming or the procedure call","Local variable, sequence, selection, iteration, and modularization","Structured, imperative","","C, C++, Lisp, PHP, Python"
"Functional","Treats computation as the evaluation of mathematical functions avoiding state and mutable data","Lambda calculus, compositionality, formula, recursion, referential transparency, no side effects","Declarative","","Erlang, Haskell, Lisp, Clojure, Scala, SML, F#, SequenceL, Python"
"Event-driven including time driven","Program flow is determined mainly by events, such as mouse click or interrupts including timer","Main loop, event handlers, asynchronous processes","Procedural, dataflow","","ActionScript"
"Object-oriented","Treats datafields as objects manipulated through pre-defined methods only","Objects, methods, message passing, information hiding, data abstraction, encapsulation, polymorphism, inheritance, serialization-marshalling","","See here and","Common Lisp, C++, C#, Eiffel, Java, PHP, Python, Ruby, Scala"
"Declarative","Defines computation logic without defining its detailed control flow","4GL, spreadsheet, report program generator","","","SQL, regular expressions, CSS, Prolog"
"Automata-based programming","Treats programs as a model of a finite state machine or any other formal automata","State enumeration, control variable, state changes, isomorphism, state transition table","Imperative, event-driven","",""
"Paradigm","Description","Main characteristics","Related paradigm(s)","Critics?","Examples"
"“","""You can know the name of a bird in all the languages of the world, but when you're finished, you'll know absolutely nothing whatever about the bird... So let's look at the bird and see what it's doing-- that's what counts. I learned very early the difference between knowing the name of something and knowing something.","”"
" ","","/!\ This cell is not defined /!\"
"Imperative","Procedural","Object-oriented"
"","",""